DATAFLOW,LAST UPDATE,freq,farmtype,indic_ef,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,EL22,2010,11680,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,EL23,2010,130440,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,EL24,2010,306730,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,EL25,2010,170360,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,EL30,2010,6950,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,EL41,2010,4510,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,EL42,2010,9960,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,EL43,2010,38020,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DE1,2010,1390,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DE2,2010,920,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DE3,2010,10,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DE4,2010,190,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DE5,2010,10,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DE6,2010,490,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DE7,2010,410,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DE8,2010,90,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DE9,2010,820,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DEA,2010,2380,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DEB,2010,290,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DEC,2010,20,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DED,2010,380,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DEE,2010,100,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DEF,2010,310,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,DEG,2010,150,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL11,2010,190,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL12,2010,1680,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL13,2010,70,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL14,2010,690,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL21,2010,320,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL22,2010,40,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL23,2010,1600,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL24,2010,150,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL25,2010,1120,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL30,2010,420,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL41,2010,340,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL42,2010,300,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,EL43,2010,8520,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DE1,2010,910,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DE2,2010,3020,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DE3,2010,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DE4,2010,120,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DE6,2010,120,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DE7,2010,1190,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DE8,2010,50,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DE9,2010,1630,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DEA,2010,3510,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DEB,2010,11450,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DEC,2010,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DED,2010,210,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DEE,2010,870,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DEF,2010,290,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,DEG,2010,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL11,2010,5040,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL12,2010,4760,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL13,2010,500,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL14,2010,1110,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL21,2010,130,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL22,2010,100,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL23,2010,2040,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL24,2010,3430,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL25,2010,1280,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL30,2010,1940,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL41,2010,130,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL42,2010,320,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,EL43,2010,520,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DE1,2010,2700,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DE2,2010,3080,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DE3,2010,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DE4,2010,2190,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DE6,2010,590,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DE7,2010,710,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DE8,2010,440,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DE9,2010,6490,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DEA,2010,6040,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DEB,2010,1290,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DEC,2010,90,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DED,2010,940,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DEE,2010,580,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DEF,2010,4840,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,DEG,2010,420,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,EL11,2010,400,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,EL12,2010,1460,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,EL13,2010,140,
